ovn,tlmm,food,vial,block,geno
27,0.9,0.2,189.1.C,1,S80
14,0.933333333333333,0.4,142.1.C,1,S179
37,1.05,0.2,143.1.C,1,S179
38,1.13333333333333,1,144.1.C,1,S151
38,1.1,0.4,145.1.C,1,S151
28,1.03333333333333,0.6,150.1.C,1,S80
38,1.06666666666667,0.4,151.1.C,1,S80
27,1.06666666666667,0.4,160.1.C,1,RR6
32,1.03333333333333,0.6,162.1.C,1,RR31
32,1.03333333333333,0.4,163.1.C,1,RR31
39,1.11666666666667,0.4,166.1.C,1,S151
31,1.1,0.4,167.1.C,1,S166
20,0.95,0.2,169.1.C,1,S80
32,1,0.4,178.1.C,1,RR6
21,0.8,0.2,179.1.C,1,RR6
45,1,0.4,181.1.C,1,RR31
41,0.85,0.2,191.1.C,1,FSP25
52,0.9,0.4,195.1.C,1,RR31
38,0.9,0.6,196.1.C,1,RR22
65,0.9,0.4,197.1.C,1,RR22
51,0.95,0.2,198.1.C,1,RR22
25,0.8,0.2,201.1.C,1,S166
37,0.866666666666667,0.2,202.1.C,1,S80
24,0.8,0.2,203.1.C,1,FSP32
39,0.966666666666667,0.2,205.1.C,1,FSP34
20,0.9,0.2,206.1.C,1,FSP5
15,0.833333333333333,0.2,208.1.C,1,RR31
32,0.833333333333333,0.4,209.1.C,1,RR22
28,0.966666666666667,0.2,192.1.C,1,FSP34
32,1.11666666666667,0.6,193.1.C,1,FSP5
30,1.03333333333333,0.2,194.1.C,1,RR6
37,0.85,0.2,210.1.C,1,RR22
44,0.8,0.2,211.1.C,1,S151
35,0.8,0.2,212.1.C,1,S80
21,0.95,0.2,214.1.C,1,FSP5
32,0.7,0.2,227.1.C,1,RR31
72,0.9,0.2,228.1.C,1,RR22
35,0.95,0.2,229.1.C,1,S151
39,0.95,0.2,230.1.C,1,S166
40,0.7,0.2,231.1.C,1,S80
72,1,0.2,232.1.C,1,RR6
14,0.75,0.2,233.1.C,1,RR31
17,1,0.2,215.1.C,1,RR6
17,0.7,0.2,216.1.C,1,RR31
17,0.7,0.2,217.1.C,1,S179
22,0.9,0.2,218.1.C,1,S80
21,0.833333333333333,0.2,219.1.C,1,RR6
24,0.866666666666667,0.2,220.1.C,1,RR31
30,0.966666666666667,0.2,222.1.C,1,S151
17,0.733333333333333,0.2,223.1.C,1,S80
17,0.8,0.2,224.1.C,1,FSP32
57,1,4,10.2.C,2,FSP25
25,1.05,2,11.2.C,2,RR31
34,1.05,2,12.2.C,2,RR6
30,0.95,2,13.2.C,2,S80
37,1.05,2,14.2.C,2,S166
30,1,2,15.2.C,2,S151
29,1.05,2,16.2.C,2,S179
67,1.05,2,17.2.C,2,FSP5
43,1,2,18.2.C,2,FSP34
49,0.95,2,19.2.C,2,FSP25
27,1,1,20.2.C,2,RR31
61,1.05,4,1.2.C,2,FSP34
59,1,4,2.2.C,2,RR22
38,1.15,4,3.2.C,2,RR6
53,1.05,4,4.2.C,2,S80
32,1.15,4,5.2.C,2,S166
41,1.03333333333333,4,6.2.C,2,S151
29,1.05,1,21.2.C,2,RR6
27,1.15,1,22.2.C,2,S80
47,1.05,1,23.2.C,2,S166
19,0.95,1,24.2.C,2,S151
45,1,1,25.2.C,2,S179
37,0.95,1,26.2.C,2,FSP5
26,1.05,1,27.2.C,2,FSP34
28,1.05,1,28.2.C,2,FSP25
33,1,0.6,29.2.C,2,RR31
27,1.05,0.6,30.2.C,2,RR6
31,0.95,1,21.2.C,2,RR6
17,1,0.6,32.2.C,2,S151
29,1,0.6,33.2.C,2,S179
23,1.05,0.6,34.2.C,2,FSP5
23,0.9,0.6,36.2.C,2,FSP25
29,0.95,0.4,83.2.C,2,RR31
21,0.95,1,99.2.C,2,RR22
21,1,0.2,235.1.C,1,S179
8,0.95,0.2,236.1.C,1,S151
9,0.7,0.2,238.1.C,1,RR31
12,1,1,103.2.C,2,FSP25
23,0.9,0.4,105.2.C,2,FSP25
24,0.95,4,106.2.C,2,FSP34
13,1.05,2,125.2.C,2,S80
17,1,0.6,126.2.C,2,S80
14,0.95,1,129.2.C,2,RR6
15,0.95,0.4,131.2.C,2,RR6
29,1,1,140.2.C,2,S166
18,1,0.6,141.2.C,2,S166
25,0.9,0.4,142.2.C,2,S166
23,1,0.2,143.2.C,2,RR6
25,0.95,0.4,151.2.C,2,S151
45,0.95,4,7.2.C,2,S179
47,1.025,4,8.2.C,2,FSP5
30,0.975,4,9.2.C,2,FSP34
17,1.05,4,42.2.C,2,RR87
30,1.1,2,43.2.C,2,RR87
21,1.1,1,44.2.C,2,RR87
33,1,0.6,45.2.C,2,RR87
30,1,0.4,46.2.C,2,RR87
12,1.15,4,47.2.C,2,RR22
16,1.05,2,48.2.C,2,RR22
11,1.05,1,66.2.C,2,RR31
17,1,1,67.2.C,2,RR6
24,0.95,1,69.2.C,2,S166
32,0.9,1,70.2.C,2,S151
33,0.8,1,72.2.C,2,FSP5
29,1.1,1,73.2.C,2,FSP34
20,1,1,74.2.C,2,FSP25
28,1.05,0.6,75.2.C,2,RR31
27,0.8,0.6,76.2.C,2,RR6
32,1.05,0.6,78.2.C,2,S166
