ovn,tlmm,food,vial,block,geno
36,1,2,90.1.C,1,RR22
34,1,1,91.1.C,1,RR22
35,0.9,0.6,92.1.C,1,RR22
36,0.95,0.4,102.1.C,1,S151
36,0.95,0.4,105.1.C,1,S166
41,1,0.6,109.1.C,1,S80
33,0.95,0.4,113.1.C,1,FSP32
33,1.1,0.4,118.1.C,1,FSP25
35,1.1,0.6,122.1.C,1,FSP34
35,1.05,0.4,123.1.C,1,FSP34
33,0.95,1,131.1.C,1,RR6
35,1,0.4,132.1.C,1,RR6
33,1.05,1,135.1.C,1,RR31
38,1.1,0.6,136.1.C,1,RR31
30,1,0.4,137.1.C,1,RR31
38,1.05,1,139.1.C,1,RR22
42,1,0.6,140.1.C,1,RR22
33,1,0.4,141.1.C,1,RR22
38,1.1,0.4,148.1.C,1,S166
19,0.9,0.2,155.1.C,1,FSP32
23,0.9,0.2,156.1.C,1,FSP34
33,0.95,0.6,157.1.C,1,FSP5
30,0.95,0.4,165.1.C,1,RR22
38,1.1,0.4,172.1.C,1,FSP25
30,1,0.4,183.1.C,1,RR22
27,0.75,0.2,159.1.C,1,FSP25
25,0.85,0.2,190.1.C,1,FSP32
32,1.03333333333333,0.6,150.1.C,1,S80
30,1.06666666666667,0.4,151.1.C,1,S80
24,1,0.4,163.1.C,1,RR31
37,1.1,0.4,166.1.C,1,S151
31,1.1,0.4,168.1.C,1,S80
43,1,0.2,201.1.C,1,S166
44,0.933333333333333,0.2,202.1.C,1,S80
16,0.966666666666667,0.2,208.1.C,1,RR31
54,0.9,0.4,209.1.C,1,RR22
25,0.933333333333333,0.2,194.1.C,1,RR6
33,0.8,0.2,231.1.C,1,S80
21,0.65,0.2,232.1.C,1,RR6
11,0.9,0.2,233.1.C,1,RR31
24,0.966666666666667,0.2,216.1.C,1,RR31
56,1.05,4,10.2.C,2,FSP25
39,1.1,2,11.2.C,2,RR31
29,1,2,12.2.C,2,RR6
28,1.1,2,13.2.C,2,S80
33,1.1,2,14.2.C,2,S166
19,1.1,2,15.2.C,2,S151
39,1.05,2,17.2.C,2,FSP5
17,0.95,2,18.2.C,2,FSP34
29,0.95,1,20.2.C,2,RR31
46,1.1,4,3.2.C,2,RR6
46,1.1,4,4.2.C,2,S80
40,1.05,4,5.2.C,2,S166
21,0.933333333333333,4,6.2.C,2,S151
25,1.05,1,22.2.C,2,S80
30,1.1,1,24.2.C,2,S151
47,1.1,1,25.2.C,2,S179
36,0.9,1,27.2.C,2,FSP34
18,1.1,1,21.2.C,2,RR6
27,1,0.6,32.2.C,2,S151
34,1.1,0.6,33.2.C,2,S179
20,1,0.4,83.2.C,2,RR31
24,1.1,1,99.2.C,2,RR22
23,1,4,106.2.C,2,FSP34
18,1.05,0.4,131.2.C,2,RR6
20,0.8,0.4,142.2.C,2,S166
42,0.975,4,7.2.C,2,S179
36,1.025,4,8.2.C,2,FSP5
23,0.95,4,9.2.C,2,FSP34
22,1,4,42.2.C,2,RR87
26,1.1,2,43.2.C,2,RR87
25,1,1,44.2.C,2,RR87
16,1,0.4,46.2.C,2,RR87
5,1.15,2,48.2.C,2,RR22
31,1,1,66.2.C,2,RR31
31,1.05,1,69.2.C,2,S166
34,1.1,1,70.2.C,2,S151
28,1,1,73.2.C,2,FSP34
29,0.95,0.6,75.2.C,2,RR31
33,1,0.6,79.2.C,2,S151
24,1.05,0.4,84.2.C,2,RR6
12,1,2,93.2.C,2,RR87
30,1.05,0.6,95.2.C,2,RR87
12,1,0.4,96.2.C,2,RR87
22,1.05,0.4,110.2.C,2,FSP34
25,1.05,2,121.2.C,2,S166
23,1.05,0.6,123.2.C,2,S166
20,1,0.4,124.2.C,2,S166
23,1.05,0.4,137.2.C,2,FSP34
14,1.05,0.4,39.2.C,2,S80
25,1.03333333333333,1,49.2.C,2,RR22
30,1.06666666666667,0.6,50.2.C,2,RR22
12,1.1,2,60.2.C,2,S166
22,1.1,2,61.2.C,2,S151
18,1.05,2,64.2.C,2,FSP34
21,1.05,2,65.2.C,2,FSP25
16,0.95,0.6,81.2.C,2,FSP34
29,1,0.6,82.2.C,2,FSP25
16,0.9,0.2,169.2.C,2,S80
15,0.8,0.2,195.2.C,2,S80
23,0.9,0.2,191.2.C,2,FSP34
35,0.757142857142857,4,1.1.C,1,RR6
42,1.13333333333333,4,3.1.C,1,FSP5
40,1.1,4,4.1.C,1,FSP34
43,1.06666666666667,4,5.1.C,1,FSP25
37,1,4,6.1.C,1,FSP32
52,1.23333333333333,4,10.1.C,1,S179
54,1.1,4,14.1.C,1,RR22
39,1.16666666666667,4,15.1.C,1,RR22
45,1.15,1,17.1.C,1,RR22
38,1.06666666666667,4,19.1.C,1,RR87
36,1.06666666666667,4,21.1.C,1,RR31
37,1.05,1,25.1.C,1,RR6
39,1.08333333333333,2,31.1.C,1,FSP34
39,1.13333333333333,1,32.1.C,1,FSP34
46,1.06666666666667,2,38.1.C,1,S179
42,1.16666666666667,1,39.1.C,1,S179
44,1.16666666666667,4,42.1.C,1,S151
40,1.08333333333333,2,43.1.C,1,S151
31,0.983333333333333,0.4,93.1.C,1,RR22
32,0.975,1,111.1.C,1,FSP32
30,1,0.4,128.1.C,1,FSP5
37,1,4,23.1.C,1,RR6
35,1,2,24.1.C,1,RR6
40,1.05,4,27.1.C,1,FSP5
40,1.05,4,37.1.C,1,S179
44,1.15,0.6,40.1.C,1,S179
41,1.05,0.4,41.1.C,1,S179
41,1.1,1,44.1.C,1,S151
39,1.05,0.6,45.1.C,1,S151
38,1.05,0.4,46.1.C,1,S151
38,1.16666666666667,4,47.1.C,1,S166
33,1.05,2,48.1.C,1,S166
41,1,1,49.1.C,1,S166
37,1.05,0.6,50.1.C,1,S166
34,1,0.4,51.1.C,1,S166
31,1,4,52.1.C,1,S80
40,1,2,53.1.C,1,S80
36,1,1,54.1.C,1,S80
33,0.95,0.6,55.1.C,1,S80
30,1,0.4,56.1.C,1,S80
33,1,4,57.1.C,1,FSP32
36,0.95,2,58.1.C,1,FSP32
31,0.8,1,59.1.C,1,FSP32
28,1,0.6,60.1.C,1,FSP32
35,1,2,63.1.C,1,FSP25
41,1.05,1,64.1.C,1,FSP25
30,0.95,0.6,65.1.C,1,FSP25
37,1.05,0.4,66.1.C,1,FSP25
35,0.95,2,68.1.C,1,FSP34
38,1,1,69.1.C,1,FSP34
40,1.05,0.6,70.1.C,1,FSP34
39,1.05,0.4,71.1.C,1,FSP34
39,1.05,2,73.1.C,1,FSP5
33,1.05,1,74.1.C,1,FSP5
18,0.95,0.6,75.1.C,1,FSP5
46,1,1,79.1.C,1,RR6
33,1.05,0.6,80.1.C,1,RR6
37,0.95,0.4,81.1.C,1,RR6
39,1.05,4,82.1.C,1,RR31
37,1,2,83.1.C,1,RR31
39,1.05,1,84.1.C,1,RR31
24,1,0.6,85.1.C,1,RR31
35,1.05,2,88.1.C,1,RR87
38,1.1,1,91.1.C,1,RR22
37,0.9,0.6,92.1.C,1,RR22
39,1,0.4,102.1.C,1,S151
23,1,0.6,109.1.C,1,S80
27,0.85,0.4,113.1.C,1,FSP32
32,1.05,0.4,123.1.C,1,FSP34
34,1,1,131.1.C,1,RR6
35,1.05,0.6,136.1.C,1,RR31
43,1,0.6,140.1.C,1,RR22
37,1,0.4,141.1.C,1,RR22
31,1,0.4,148.1.C,1,S166
20,0.85,0.2,155.1.C,1,FSP32
25,0.85,0.4,165.1.C,1,RR22
30,0.95,0.4,183.1.C,1,RR22
32,1.05,0.6,150.1.C,1,S80
22,1,0.4,163.1.C,1,RR31
38,0.8,0.2,201.1.C,1,S166
70,1,0.4,209.1.C,1,RR22
23,1.03333333333333,0.2,194.1.C,1,RR6
32,0.9,0.2,231.1.C,1,S80
33,0.75,0.2,233.1.C,1,RR31
54,1.05,4,10.2.C,2,FSP25
29,1.05,2,12.2.C,2,RR6
32,1.05,2,13.2.C,2,S80
26,0.9,2,14.2.C,2,S166
52,1.1,2,15.2.C,2,S151
50,1.05,2,17.2.C,2,FSP5
38,1,2,18.2.C,2,FSP34
37,1.05,1,20.2.C,2,RR31
41,0.95,4,3.2.C,2,RR6
53,1.15,4,4.2.C,2,S80
42,0.95,4,5.2.C,2,S166
25,1.03333333333333,4,6.2.C,2,S151
25,1.05,1,22.2.C,2,S80
46,1.15,1,24.2.C,2,S151
24,0.95,1,27.2.C,2,FSP34
19,1.05,0.6,32.2.C,2,S151
15,1,4,106.2.C,2,FSP34
35,1,4,8.2.C,2,FSP5
29,0.95,4,9.2.C,2,FSP34
23,0.9,4,42.2.C,2,RR87
22,0.95,2,43.2.C,2,RR87
25,1.1,1,44.2.C,2,RR87
24,1.1,2,48.2.C,2,RR22
28,1.05,1,69.2.C,2,S166
32,1,1,70.2.C,2,S151
36,1.1,1,73.2.C,2,FSP34
29,1,0.6,75.2.C,2,RR31
23,0.95,0.6,79.2.C,2,S151
23,1.05,0.4,84.2.C,2,RR6
18,0.95,2,93.2.C,2,RR87
14,1.1,0.6,95.2.C,2,RR87
11,1.05,0.4,96.2.C,2,RR87
23,1.15,0.4,124.2.C,2,S166
26,1,1,49.2.C,2,RR22
27,1.06666666666667,0.6,50.2.C,2,RR22
17,1.05,2,60.2.C,2,S166
21,1,2,61.2.C,2,S151
12,1.1,2,64.2.C,2,FSP34
21,1,2,65.2.C,2,FSP25
26,1,0.6,81.2.C,2,FSP34
19,0.85,0.6,82.2.C,2,FSP25
11,0.9,0.2,169.2.C,2,S80
27,0.95,0.2,191.2.C,2,FSP34
36,0.771428571428571,4,1.1.C,1,RR6
46,1.06666666666667,4,5.1.C,1,FSP25
33,1.06666666666667,4,6.1.C,1,FSP32
52,1.23333333333333,4,10.1.C,1,S179
38,1.13333333333333,4,14.1.C,1,RR22
43,1.16666666666667,4,15.1.C,1,RR22
48,1.03333333333333,1,17.1.C,1,RR22
43,1.06666666666667,4,21.1.C,1,RR31
34,1.13333333333333,2,28.1.C,1,FSP5
36,1.16666666666667,2,31.1.C,1,FSP34
39,1.13333333333333,1,32.1.C,1,FSP34
43,1.03333333333333,2,38.1.C,1,S179
45,1.16666666666667,1,39.1.C,1,S179
46,1.1,4,42.1.C,1,S151
42,1.06666666666667,2,43.1.C,1,S151
30,0.983333333333333,0.4,93.1.C,1,RR22
29,0.975,0.4,128.1.C,1,FSP5
38,1.05,4,23.1.C,1,RR6
35,1.05,2,24.1.C,1,RR6
36,1.1,4,27.1.C,1,FSP5
45,1.15,4,37.1.C,1,S179
28,0.95,0.6,40.1.C,1,S179
41,1.05,0.4,41.1.C,1,S179
37,1,1,44.1.C,1,S151
41,1.1,0.6,45.1.C,1,S151
41,1.1,4,47.1.C,1,S166
47,1,2,48.1.C,1,S166
38,0.95,1,49.1.C,1,S166
37,1,0.6,50.1.C,1,S166
31,1.05,4,52.1.C,1,S80
32,1.05,2,53.1.C,1,S80
27,1,1,54.1.C,1,S80
29,1,0.6,55.1.C,1,S80
32,0.9,0.4,56.1.C,1,S80
36,1.05,4,57.1.C,1,FSP32
38,1,2,58.1.C,1,FSP32
37,0.95,1,59.1.C,1,FSP32
35,1.05,0.6,60.1.C,1,FSP32
35,1,2,63.1.C,1,FSP25
32,1.05,1,64.1.C,1,FSP25
36,1,0.6,65.1.C,1,FSP25
36,1,2,68.1.C,1,FSP34
43,1,1,69.1.C,1,FSP34
41,1.1,0.6,70.1.C,1,FSP34
37,1.05,2,73.1.C,1,FSP5
33,1,1,74.1.C,1,FSP5
32,0.95,0.6,75.1.C,1,FSP5
36,1,1,79.1.C,1,RR6
36,1,0.6,80.1.C,1,RR6
33,1,0.4,81.1.C,1,RR6
41,1.1,4,82.1.C,1,RR31
45,1.05,2,83.1.C,1,RR31
35,1,1,84.1.C,1,RR31
38,0.95,0.6,85.1.C,1,RR31
18,1,2,88.1.C,1,RR87
39,1,1,91.1.C,1,RR22
39,0.95,0.6,92.1.C,1,RR22
29,1.05,0.4,123.1.C,1,FSP34
42,1.1,1,131.1.C,1,RR6
40,1.05,0.4,132.1.C,1,RR6
32,1.2,0.6,136.1.C,1,RR31
35,0.95,0.4,141.1.C,1,RR22
30,1.05,0.4,148.1.C,1,S166
31,0.95,0.4,183.1.C,1,RR22
33,1.03333333333333,0.4,163.1.C,1,RR31
27,1.1,4,10.2.C,2,FSP25
45,0.95,2,12.2.C,2,RR6
33,1,2,13.2.C,2,S80
37,1.05,2,14.2.C,2,S166
36,1.15,2,15.2.C,2,S151
51,1.1,2,17.2.C,2,FSP5
41,1.05,2,18.2.C,2,FSP34
39,1,4,3.2.C,2,RR6
34,1,4,4.2.C,2,S80
34,1.15,4,5.2.C,2,S166
35,1.06666666666667,4,6.2.C,2,S151
38,1.15,1,22.2.C,2,S80
16,1.1,1,24.2.C,2,S151
39,1.05,4,8.2.C,2,FSP5
26,0.975,4,9.2.C,2,FSP34
26,0.95,4,42.2.C,2,RR87
16,1.1,2,48.2.C,2,RR22
18,0.9,1,69.2.C,2,S166
32,1.1,1,70.2.C,2,S151
29,1.15,1,73.2.C,2,FSP34
34,1,0.6,75.2.C,2,RR31
25,0.95,0.6,79.2.C,2,S151
23,1.05,0.4,84.2.C,2,RR6
42,1,2,93.2.C,2,RR87
17,1.05,0.6,95.2.C,2,RR87
15,1,1,49.2.C,2,RR22
23,1.1,2,60.2.C,2,S166
15,0.95,2,61.2.C,2,S151
19,1,2,64.2.C,2,FSP34
22,1,2,65.2.C,2,FSP25
31,1,0.6,81.2.C,2,FSP34
17,1,0.2,191.2.C,2,FSP34
