geno,food,ovn,tlmm,apple,males,females,apple
262,F,28,1,262.F.3,1,1,262.F.3
219,F,31,1.06666666666667,219.F.1,0,2,219.F.1
219,F,32,1.1,219.F.1,0,2,219.F.1
262,R,32,1.06666666666667,262.R.1,5,2,262.R.1
262,R,24,0.95,262.R.1,5,2,262.R.1
347,F,34,0.933333333333333,347.F.1,1,1,347.F.1
262,F,25,1.03333333333333,262.F.3,0,2,262.F.3
262,F,28,1.03333333333333,262.F.3,0,2,262.F.3
347,R,24,0.9,347.R.2,0,1,347.R.2
347,F,16,0.783333333333333,347.F.3,0,1,347.F.3
262,F,33,1.05,262.F.1,1,1,262.F.1
